card_id,card_type,rarity,energy_cost,effective_cost,raw_value,per_cost_value,score,unscored_reason
ABRASIVE,Power,Rare,3.0,3.0,7.5,2.5,0.04217273954116078,
ABUNDANCE,Skill,Ancient,1.0,1.0,5.231152647975078,5.231152647975078,0.08824481524924259,
ACCELERANT,Power,Uncommon,1.0,1.0,2.5,2.5,0.04217273954116078,
ACCURACY,Power,Uncommon,1.0,1.0,6.0,6.0,0.10121457489878587,
ACROBATICS,Skill,Uncommon,1.0,1.0,9.0,9.0,0.1518218623481788,
ADAPTIVE_STRIKE,Attack,Rare,2.0,2.0,18.0,9.0,0.1518218623481788,
ADRENALINE,Skill,Rare,0.0,0.5,9.0,18.0,0.3036437246963576,
AFTERIMAGE,Power,Rare,1.0,1.0,1.5,1.5,0.025303643724696467,
AFTERLIFE,Skill,Common,1.0,1.0,6.0,6.0,0.10121457489878587,
AGGRESSION,Power,Rare,1.0,1.0,4.0,4.0,0.06747638326585724,
ALCHEMIZE,Skill,Rare,1.0,1.0,0.0,0.0,0.0,
ALIGNMENT,Skill,Uncommon,0.0,0.5,6.0,12.0,0.20242914979757173,
ALL_FOR_ONE,Attack,Rare,2.0,2.0,10.0,5.0,0.08434547908232155,
ANGER,Attack,Common,0.0,0.5,6.0,12.0,0.20242914979757173,
ANOINTED,Skill,Rare,1.0,1.0,0.0,0.0,0.0,
ANTICIPATE,Skill,Common,0.0,0.5,3.0,6.0,0.10121457489878587,
APOTHEOSIS,Skill,Ancient,2.0,2.0,0.0,0.0,0.0,
APPARITION,Skill,Ancient,1.0,1.0,1.5,1.5,0.025303643724696467,
ARMAMENTS,Skill,Common,1.0,1.0,5.0,5.0,0.08434547908232155,
ARSENAL,Power,Rare,1.0,1.0,1.5,1.5,0.025303643724696467,
ASCENDERS_BANE,Curse,Curse,-1.0,,,,,deck_eval_excluded:curse_status
ASHEN_STRIKE,Attack,Uncommon,1.0,1.0,3.0,3.0,0.05060728744939293,
ASSASSINATE,Attack,Rare,0.0,0.5,11.5,23.0,0.3879892037786791,
ASTRAL_PULSE,Attack,Common,0.0,0.5,6.0,12.0,0.20242914979757173,
AUTOMATION,Power,Uncommon,1.0,1.0,5.5,5.5,0.09278002699055371,
BACKFLIP,Skill,Common,1.0,1.0,11.0,11.0,0.18556005398110742,
