card_id,class_name,energy_cost,star_cost,is_x_cost,rarity,card_type,target_type,keywords,deck_eval_excluded,exclusion_reason,status,needs_review,damage,extra_damage,block,cards_drawn,energy,repeat_hits,heal,gold,max_hp,hp_loss,forge,stars,summon,applies_power_state,buffs_applied,debuffs_applied,other_powers_applied,card_generation,card_transform,pool_generation,card_tutor,orbs_generated,scales_with_enemy_power,scales_with_self_power,orb_evoked,card_tags,tribal_references,exhaust_pile_reference,discard_pile_reference,exhausts_other_cards,discards_other_cards,sly_keyword,opaque_values,review_snippet,notes
ABRASIVE,Abrasive,3,,,Rare,Power,Self,Sly,,,auto,,,,,,,,,,,,,,,TRUE,THORNS_POWER:4(Counter);DEXTERITY_POWER:1(Counter),,,,,,,,,,,,,,,,,TRUE,,,
ABUNDANCE,Abundance,1,,,Ancient,Skill,Self,Exhaust,,,no_canonical_vars,,,,,,,,,,,,,,,,,,,,,type:Power:1,,,,,,,,,,,,,,,
ACCELERANT,Accelerant,1,,,Uncommon,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Accelerant:1,,
ACCURACY,Accuracy,1,,,Uncommon,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,ACCURACY_POWER:4(Counter),,,,,,,,,,,,,,,,,,,,
ACROBATICS,Acrobatics,1,,,Uncommon,Skill,Self,,,,auto,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
ADAPTIVE_STRIKE,AdaptiveStrike,2,,,Rare,Attack,AnyEnemy,,,,auto,,18,,,,,,,,,,,,,,,,,,,,,,,,,Strike,,,,,,,,,
ADRENALINE,Adrenaline,0,,,Rare,Skill,Self,Exhaust,,,auto,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFTERIMAGE,Afterimage,1,,,Rare,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,AFTERIMAGE_POWER:1(Counter),,,,,,,,,,,,,,,,,,,,
AFTERLIFE,Afterlife,1,,,Common,Skill,Self,Exhaust,,,auto,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
AGGRESSION,Aggression,1,,,Rare,Power,Self,,,,no_canonical_vars,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
ALCHEMIZE,Alchemize,1,,,Rare,Skill,Self,Exhaust,,,no_canonical_vars,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIGNMENT,Alignment,0,3,,Uncommon,Skill,Self,,,,auto,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL_FOR_ONE,AllForOne,2,,,Rare,Attack,AnyEnemy,,,,auto,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
